0,1,2,3,4,5,6,7,8,9
"('39 <= 0.00', 0.02325167741505922)","('2 <= 0.00', -0.022457217737728654)","('37 <= 0.00', 0.021991813457555045)","('29 <= 0.00', -0.0216748410807092)","('9 <= 0.00', 0.02118748217798704)","('5 <= 0.00', -0.021157759849896127)","('0.00 < 91 <= 7.00', -0.02012659511946553)","('23 <= 0.00', 0.01815098668846967)","('20 <= 0.00', -0.017332803705309065)","('18 <= 0.00', -0.016754579587444907)"
"('16 <= 0.00', -0.018336715234925433)","('56 <= 0.00', 0.01741720121027345)","('26 <= 0.00', 0.017409521529275537)","('4 <= 0.00', 0.01715178805641118)","('39 <= 0.00', 0.016757483593221295)","('35 <= 0.00', -0.01458319573670442)","('7 <= 0.00', -0.014362478581977391)","('5 <= 0.00', 0.014225913726802791)","('6 <= 0.00', 0.013448857455803208)","('54 <= 0.00', 0.012351441480055608)"
"('12 <= 0.00', 0.02200246839022651)","('3 <= 0.00', 0.021325794935302546)","('67 <= 0.00', -0.02009243400261638)","('37 <= 0.00', 0.01879413404175266)","('24 <= 0.00', 0.017432642789712797)","('5 <= 0.00', -0.016641842393459554)","('31 <= 0.00', 0.015589010355940347)","('207.00 < 99 <= 655.00', -0.014782936962150271)","('10 <= 0.00', -0.014517239393436354)","('29 <= 0.00', -0.014008051550785829)"
"('6 <= 0.00', 0.02807289871113064)","('18 <= 0.00', 0.023932889557447455)","('61 <= 0.00', -0.023891064485100283)","('5 <= 0.00', -0.022574012370314457)","('36 <= 0.00', 0.01897701718944566)","('67 <= 0.00', 0.01654450060469072)","('41 <= 0.00', -0.01646453089249337)","('97 <= 33.50', 0.016299896793614516)","('75 <= 0.00', -0.014862570197697607)","('0.00 < 90 <= 99.25', 0.014101617936060913)"
"('2 <= 0.00', 0.02638963588090529)","('40 <= 0.00', -0.0169011378153158)","('37 <= 0.00', 0.016635158745392578)","('10 <= 0.00', 0.01637986697404601)","('57 <= 0.00', -0.015611912503076272)","('22 <= 0.00', -0.015494882641727268)","('48 <= 0.00', -0.015328759442391964)","('0.00 < 93 <= 16.00', 0.014975048795530741)","('35 <= 0.00', 0.013729708559757163)","('5 <= 0.00', -0.01358213154186094)"
"('22 <= 0.00', 0.025339044244962822)","('35 <= 0.00', 0.019091274418037756)","('40 <= 0.00', -0.018267903766445825)","('0 <= 0.00', -0.01795446936322663)","('51 <= 0.00', 0.01703670878415072)","('99 <= 50.50', 0.016414813992357294)","('55 <= 0.00', 0.01633712157076505)","('2 <= 0.00', 0.016119393394592813)","('8 <= 0.00', 0.015658284375205382)","('31 <= 0.00', 0.012551351874992846)"
"('39 <= 0.00', -0.021573572476625932)","('40 <= 0.00', -0.01757761306025479)","('36 <= 0.00', 0.016836598780662206)","('3 <= 0.00', 0.01625909912869534)","('30 <= 0.00', -0.01601801250486654)","('1 <= 0.00', -0.015541737371811673)","('17 <= 0.00', -0.01451922450690607)","('29 <= 0.00', 0.014149356752792447)","('20 <= 0.00', -0.013843264142069782)","('54 <= 0.00', 0.012128976691283261)"
"('12 <= 0.00', -0.020477172154910257)","('58 <= 0.00', 0.020276486339143793)","('17 <= 0.00', 0.016751267250543437)","('47 <= 0.00', -0.01566235011347209)","('22 <= 0.00', 0.01468007264284542)","('11 <= 0.00', 0.014381369094036157)","('1 <= 0.00', -0.013591039925251635)","('46 <= 0.00', -0.012244813233109265)","('5 <= 0.00', 0.011658726468693939)","('28 <= 0.00', -0.01095862221234511)"
"('27 <= 0.00', 0.021552230167140106)","('44 <= 0.00', 0.01957375418797153)","('46 <= 0.00', -0.0192690807937473)","('43 <= 0.00', 0.019006549959803547)","('42 <= 0.00', 0.018717781065972)","('24 <= 0.00', -0.01796943272579885)","('37 <= 0.00', -0.01685966919834217)","('23 <= 0.00', 0.015752527355042973)","('39 <= 0.00', 0.015399491988812707)","('19 <= 0.00', 0.014277124399318835)"
"('15 <= 0.00', -0.023844527727279956)","('5 <= 0.00', -0.021470759229281478)","('31 <= 0.00', -0.02107089792061316)","('61 <= 0.00', 0.019307837234862225)","('7 <= 0.00', 0.018150744044180368)","('1 <= 0.00', 0.015852996990480785)","('72 <= 0.00', 0.01577332525797629)","('4 <= 0.00', -0.014737931897149007)","('24 <= 0.00', -0.014525686297068052)","('94 > 261.75', -0.014081360185326627)"
"('18 <= 0.00', -0.02161896452802653)","('56 <= 0.00', 0.019573415385223093)","('14 <= 0.00', 0.017843734406896756)","('21 <= 0.00', 0.017090805002053334)","('34 <= 0.00', -0.016517746945539483)","('20 <= 0.00', 0.014853072393020663)","('30 <= 0.00', 0.014787387506542463)","('49 <= 0.00', 0.014740306744880522)","('46 <= 0.00', -0.01341855597668044)","('10 <= 0.00', -0.011721833727884769)"
